doa,lag_seconds,GoogleLat,GoogleLng,
7,15,33.41616,-112.16934,
7,3,33.35039,-112.62481,
7,3,33.35039,-112.62481,
0,1745,32.16309,-110.97859,
0,56,32.16309,-110.97859,
0,66,33.4802,-111.94316,
0,262,33.69869,-111.99585,
8,40,32.77223,-114.3589,
0,17,32.24362,-110.93535,
0,4592,33.5772,-112.09957,
0,306,33.48012,-112.09138,
0,41,33.44577,-112.06508,
0,23,33.43319,-112.06499,
0,36,33.38859,-112.07762,
7,0,35.21678,-111.58319,
0,5184,33.40681,-112.04442,
7,8,32.22081,-110.79898,
7,17,33.69828,-112.14357,
0,4235,33.41491,-111.8782,
0,616,33.44514,-111.52274,
0,43,33.45628,-112.10008,
0,27,33.61861,-112.03109,
0,39,33.42591,-112.07364,
7,30,33.72525,-111.97746,
0,257,33.49471,-112.06029,
0,1065,32.55262,-114.75863,
0,37848,34.86259,-111.7805,
0,631,33.4914,-112.22055,
0,2986,33.45554,-112.0912,
0,1993,33.64055,-112.03951,
0,139,33.35113,-112.45365,
0,579,33.53247,-112.22045,
7,20,33.61321,-111.86776,
0,34,33.50928,-112.1512,
7,14,33.47662,-112.0651,
0,2356,32.14111,-110.97176,
0,162,33.27217,-111.87623,
7,30,32.24328,-111.16284,
7,39,33.37753,-112.76384,
0,68,33.51102,-112.04368,
0,196,33.48046,-112.15522,
7,17,33.39379,-111.7322,
7,34,33.40387,-112.08511,
0,48,33.49417,-112.25918,
0,35,33.40667,-112.11688,
7,8,33.48043,-112.19519,
7,15,33.43675,-111.61913,
7,0,33.24709,-111.86532,
7,7,33.40758,-111.92289,
0,130,33.34837,-112.487,
0,51,33.33512,-111.837,
0,18602,33.26221,-111.84144,
0,49,33.40742,-111.89963,
7,5,33.31256,-111.94556,
0,5315,33.28026,-111.88964,
